,description
15749,"Beautiful decor, fully furnished, 5000 square foot home, antiques, new kitchen with all amenities- jacuzzi, steam shower in master bath, 20 foot by 50 foot outdoor space- can barbecue, terrace on 5th floor landmarked area , close to the UN and shopping on 5th Avenue etc. Many good restaurants of all nationalities very near by . Do not want children because of antiques, etc."
15840,"The apartment is available for rent from 7/3/2016 to 8/31/2016. The bedroom is furnished. It is really a good choice for both studying and working in NYC. The price is extremely cheap! The space is approximately 8 square meters the left hand side bedroom of the apartment, the bathroom, and also kichen If you are not going to rent for three months, any periods between 7/3/2016 to 8/31/2016 will be fine. (better for you to live at least one month) Since the apartment belongs to COSO service, you may call or text the room service during their office hours. You may also have a Columbia university master roommate. So you can also ask him if he is available at home. There are plenty of restaurants nearby, including Chinese food, Japanese ramen, Thai cuisine that are rate very high. Subway and Domino are just downstairs, which is really convenient. Super markets are only two streets away, and it takes you 6 minutes to the subway line 1 on broadway, 9 minutes to B,C lines. Columbia universit"
16037,"Super bright, six large windows, high ceiling soho loft with two full baths, and a large master bedroom with a small baby room. Perfect location just south of Houston. Flooded with light; in the heart of soho. Washer/Dryer, elevator, AC and heat. High-end kitchen. Exposed beams, original floors, true loft living."
16050,"Two bedroom apartment, located in the heart of Soho, features exposed brick, a private patio, 51"" TV and can comfortably fit up to 5 people. Extremely easy access to MetLife Stadium (45 minutes door to door) for Super Bowl Sunday."
16145,"This is a spacious, newly remodeled 2 story home in the Crown Heights area of Brooklyn; conveniently located within walking distance to many restaurants and public transportation. The house sits on a safe, quiet tree lined block and comes fully stocked with everything one would need for a comfortable stay. The house comes fully equipped with everything one would need for a comfortable stay. Central air conditioning and heating throughout. Clean towels and sheets, free wifi, dishwasher, refrigerator ,oven, toaster oven, slow cooker, coffeemaker, hot water urn, large double sink, iron, blow dryer, curling iron, etc This house is also great for families, fully stocked with a baby gate, highchair, stroller, toys, a toddler sized bed etc. The house also has a fully enclosed backyard, table and chairs, and a Weber gas grill for entertaining Bedroom 1- 1 King bed Bedroom 2- 1 queen bed Bedroom 3- 1 queen bed Bedroom 4- 2 bunk beds (4 twin size beds) Bedroom 5- 1 child/toddler size bed Guest"
16164,"Fully equipped 1 bedroom w/ terrace, kitchen, bathroom. Take the 2 train > 3 stops to Penn Station then > Metlife Stadium. Plenty of space, queen size bed, flatscreen, Dive Bar around the corner, 1 block from Central Park. Late check-out on Sunday. Deposit required. Gonna rent fast!"
16322,"Come stay in this beautiful 4-story, single-family townhouse in prime Manhattan minutes away from Central Park, Broadway Theaters, 5-star and Michelin rated restaurants and the best shopping Manhattan has to offer! This expansive house has 7 bedrooms, most with their own bathrooms. Cook and entertain like a local in the updated kitchen, or barbecue outside in the manicured garden. Sip a cocktail with your group on the roof deck and enjoy the views and sunsets. Guest can use anything throughout the entire home! We love hearing feedback from our guest and are there to answer any questions almost immediately. NYC! The city that never sleeps, we have some shopping centers near by and beautiful view! Getting around is fairly easy which ever way you choose, even if you have a car, there is a parking garage 15 feed away on the same block."
16430,"Listed here is an entire 6 bedroom Brownstone in heart of the West Village, New York. The space was an original 1870's school house that retains a lot of original charm. This space is very accommodating for larger groups seeking space and privacy. This is a 19th century school house. 3 Floors with multiple living rooms , 6 bedrooms along with 3 bathrooms make this an excellent space for groups. The location in the west village is what really makes it special. Emmett My home is your home . Please treat it with respect I will be renting my entire home so will not be living or interacting much other than welcoming and helping to answer questions. I work in the neighborhood and come by to help with anything Welcome to 298 Bleecker Street!We are happy to have you. Here is a list of things/ places that makes this apartment and neighborhood so special to me (Website hidden by Airbnb) Restaurants Extra Virgin – nice cozy restaurant on West 4th Street. Terrace out front – cool atmos"
16472,"Come emerge yourself in the ultimate NYC experience! Our beautiful condo is located in the heart of NYC and offers breathtaking, unobstructed views of the Empire State Building and the city skyline. Take in the views from the oversized windows that display the city from every single room. Recently furnished with high-end furniture and finishes, you’ll be living the true NYC dream during your time here. In addition, our building offers the luxury of a round the clock doorman, which is a rarity in NYC. Our modern apartment can sleep up to 7 guests, ideal for families or business travelers. The bedroom configurations are as follows: Bedroom 1: 1 Queen Bed + 1 Air Mattress Bedroom 2: 1 Queen Bed + 1 Sofa (not a pullout) Bedroom 3: 1 Queen Bed Common Spaces: 1 Sofa (not a pullout), 2 Full Bathrooms featuring a bathtub and shower combo The property is fully furnished and very comfortable. The kitchen is stocked with everything you'll need: appliances, cookware, dishes, etc. The modern din"
16589,"Penthouse Apartment in Gramercy Park neighborhood overlooking Empire State Building & Madison Square Park. Third bedroom has crib, changing table, and toys for kids! If not needed that room with crib can be locked off and is a 2bed 2bath purely adult home. Perfect Location, Perfect privacy. Guests can be met and let into apartment and given full tour and overview of systems! on the same block as the 4-5-6 and N-Q-R trains, and right in between Gramercy Park, Madison Square Park, Union Square, and Flatiron!"
16658,"My building has 2 floors 1st level I have 3 bedrooms with private bathroom each, living room, dinning room and kitchen, 2nd level I have 3 bedrooms with private bathroom each and dinning room, living room and kitchen, I can rent it only one bedroom one night or the 6 bedrooms one month, let me know your needs and I'll make the arrangements for you! I hope to host you soon, All the best ! I have 3 floors 1st level I have 4 bedrooms with bathroom each, living room, dinning room and kitchen, 2nd level I have 3 bedrooms with bathroom each and dinning room, living room and 3rd level I have 3 bedrooms with bathroom each and dinning room, living room and kitchen. I have 4 separate private access to different parts of the property. You won't see me but I'll be there if you need me. This is super quiete and save neighborhood, with many atracctions just walking distance, great bars, restaurants, stores, cafes, The Famous Barkleys center for concerts, Brooklyn botanical gardens, Brooklyn Zoo,"
